V1	V4	V5	V7	gene_name	gene_id
6	33419661	33453689	+	SYNGAP1	ENSG00000197283.17
6	33453970	33457544	+	ZBTB9	ENSG00000213588.6
6	33572547	33580293	-	BAK1	ENSG00000030110.13
6	33620365	33696574	+	ITPR3	ENSG00000096433.11
6	33694293	33711727	-	UQCC2	ENSG00000137288.10
6	33721662	33746905	-	IP6K3	ENSG00000161896.12
6	33771202	33789130	-	LEMD2	ENSG00000161904.12
6	33794673	33804003	-	MLN	ENSG00000096395.11
6	34018643	34155622	-	GRM4	ENSG00000124493.14
6	34236873	34246231	+	HMGA1	ENSG00000137309.20
6	34246381	34249108	-	SMIM29	ENSG00000186577.14
6	34279679	34392669	-	NUDT3	ENSG00000272325.2
6	34284887	34426071	-	RPS10-NUDT3	ENSG00000270800.3
6	34417454	34426069	-	RPS10	ENSG00000124614.16
6	34466061	34535229	+	PACSIN1	ENSG00000124507.11
6	34537802	34556333	-	SPDEF	ENSG00000124664.11
6	34587288	34696859	-	ILRUN	ENSG00000196821.10
6	34757505	34773857	+	SNRPC	ENSG00000124562.10
6	34792015	34883138	+	UHRF1BP1	ENSG00000065060.17
6	34877462	34888071	-	TAF11	ENSG00000064995.18
6	34889255	35091406	+	ANKS1A	ENSG00000064999.15
6	35118071	35148610	-	TCP11	ENSG00000124678.20
6	35213956	35253079	+	SCUBE3	ENSG00000146197.9
6	35258909	35295985	+	ZNF76	ENSG00000065029.15
6	35297818	35321771	+	DEF6	ENSG00000023892.11
6	35342558	35428191	+	PPARD	ENSG00000112033.14
6	35452338	35467102	+	FANCE	ENSG00000112039.5
6	35468401	35470785	+	RPL10A	ENSG00000198755.11
6	35473597	35497079	-	TEAD3	ENSG00000007866.22
6	35497874	35512896	-	TULP1	ENSG00000112041.13
6	35573585	35728583	-	FKBP5	ENSG00000096060.15
6	35737032	35749079	+	ARMC12	ENSG00000157343.9
6	35776594	35779552	+	CLPSL2	ENSG00000196748.10
6	35781019	35793675	+	CLPSL1	ENSG00000204140.10
6	35794982	35797344	-	CLPS	ENSG00000137392.10
6	35797206	35845397	+	LHFPL5	ENSG00000197753.11
6	35832966	35921342	-	SRPK1	ENSG00000096063.16
6	35943516	36024868	-	SLC26A8	ENSG00000112053.14
6	36027677	36111236	+	MAPK14	ENSG00000112062.11
6	36127809	36144524	+	MAPK13	ENSG00000156711.17
6	36196744	36232790	+	BRPF3	ENSG00000096070.19
6	36243203	36312229	+	PNPLA1	ENSG00000180316.12
6	36315761	36336888	-	BNIP5	ENSG00000189325.7
6	36354091	36387800	-	ETV7	ENSG00000010030.14
6	36390551	36442854	-	PXT1	ENSG00000179165.11
6	36442767	36491143	+	KCTD20	ENSG00000112078.14
6	36493892	36547479	-	STK38	ENSG00000112079.9
6	36594353	36605600	+	SRSF3	ENSG00000112081.17
6	36676460	36687337	+	CDKN1A	ENSG00000124762.14
6	36697826	36733184	+	RAB44	ENSG00000255587.9
6	36740775	36839444	-	CPNE5	ENSG00000124772.12
6	36854827	36874803	-	PPIL1	ENSG00000137168.8
6	36871870	36928964	+	C6orf89	ENSG00000198663.17
6	36948263	36964837	+	PI16	ENSG00000164530.15
6	36968141	36986298	-	MTCH1	ENSG00000137409.19
6	37005646	37029069	+	FGD2	ENSG00000146192.15
6	37170152	37175428	+	PIM1	ENSG00000137193.14
6	37212178	37258155	-	TMEM217	ENSG00000172738.12
6	37212181	37257637	-	AL353579.1	ENSG00000286105.1
6	37257772	37332970	+	TBC1D22B	ENSG00000065491.8
6	37353979	37394734	+	RNF8	ENSG00000112130.17
6	37433219	37482827	+	CMTR1	ENSG00000137200.13
6	37482938	37499893	-	CCDC167	ENSG00000198937.9
6	37630679	37699306	-	MDGA1	ENSG00000112139.16
6	37819727	38154624	+	ZFAND3	ENSG00000156639.12
6	38168451	38640148	-	BTBD9	ENSG00000183826.18
6	38675925	38703145	-	GLO1	ENSG00000124767.7
6	38715311	39030792	+	DNAH8	ENSG00000124721.18
6	39048781	39091303	+	GLP1R	ENSG00000112164.6
6	39104063	39115186	-	SAYSD1	ENSG00000112167.10
6	39188971	39229475	-	KCNK5	ENSG00000164626.9
6	39299001	39314461	-	KCNK17	ENSG00000124780.14
6	39314698	39322968	-	KCNK16	ENSG00000095981.11
6	39329990	39725408	-	KIF6	ENSG00000164627.18
6	39792298	39904877	+	DAAM2	ENSG00000146122.17
6	39899578	39934551	-	MOCS1	ENSG00000124615.20
6	40391591	40587364	-	LRFN2	ENSG00000156564.9
6	41026895	41039221	-	UNC5CL	ENSG00000124602.10
6	41033627	41097787	-	OARD1	ENSG00000124596.17
6	41042467	41044337	+	TSPO2	ENSG00000112212.12
6	41053304	41064511	+	APOBEC2	ENSG00000124701.5
6	41072945	41099976	+	NFYA	ENSG00000001167.14
6	41149342	41154337	-	TREML1	ENSG00000161911.11
6	41158506	41163186	-	TREM2	ENSG00000095970.17
6	41189749	41201149	-	TREML2	ENSG00000112195.9
6	41228339	41238882	+	TREML4	ENSG00000188056.12
6	41267926	41286682	-	TREM1	ENSG00000124731.13
6	41335608	41350889	+	NCR2	ENSG00000096264.14
6	41546426	41602384	+	FOXP4	ENSG00000137166.16
6	41636882	41654244	+	MDFI	ENSG00000112559.15
6	41683978	41736259	-	TFEB	ENSG00000112561.19
6	41736711	41754109	-	PGC	ENSG00000096088.16
6	41770176	41786542	-	FRS3	ENSG00000137218.10
6	41780349	41790141	+	AL365205.1	ENSG00000124593.16
6	41780782	41787452	+	PRICKLE4	ENSG00000278224.7
6	41787662	41789898	+	TOMM6	ENSG00000214736.8
6	41789896	41895361	-	USP49	ENSG00000164663.14
6	41905354	41921139	-	MED20	ENSG00000124641.16
6	41921499	41933046	+	BYSL	ENSG00000112578.10
6	41934934	42050357	-	CCND3	ENSG00000112576.13
6	42050513	42087461	+	TAF8	ENSG00000137413.16
6	42101119	42142620	-	C6orf132	ENSG00000188112.9
6	42155406	42163439	+	AL096814.1	ENSG00000214732.3
6	42155406	42180056	+	AL096814.2	ENSG00000287363.2
6	42155406	42181338	+	GUCA1A	ENSG00000048545.16
6	42183284	42194956	-	GUCA1B	ENSG00000112599.9
6	42206807	42217861	-	MRPS10	ENSG00000048544.6
6	42224931	42452051	-	TRERF1	ENSG00000124496.12
6	42564029	42693505	+	UBR2	ENSG00000024048.11
6	42696598	42722597	-	PRPH2	ENSG00000112619.8
6	42744498	42746103	-	TBCC	ENSG00000124659.7
6	42746958	42868560	+	BICRAL	ENSG00000112624.12
6	42879616	42889925	+	RPL7L1	ENSG00000146223.16
6	42890265	42890821	-	C6orf226	ENSG00000221821.4
6	42915989	42925838	+	PTCRA	ENSG00000171611.10
6	42929192	42939294	+	CNPY3	ENSG00000137161.17
6	42960754	42963880	+	GNMT	ENSG00000124713.6
6	42963865	42979181	-	PEX6	ENSG00000124587.14
6	42984553	43012342	+	PPP2R5D	ENSG00000112640.16
6	43011143	43016868	-	MEA1	ENSG00000124733.5
6	43014103	43021298	+	KLHDC3	ENSG00000124702.18
6	43021623	43034156	+	RRP36	ENSG00000124541.7
6	43037617	43053945	-	CUL7	ENSG00000044090.10
6	43040777	43075095	+	KLC4	ENSG00000137171.15
6	43051066	43058185	-	AL355385.2	ENSG00000288564.1
6	43054029	43059438	-	MRPL2	ENSG00000112651.12
6	43076307	43161719	+	PTK7	ENSG00000112655.16
6	43171269	43181506	+	SRF	ENSG00000112658.8
6	43182184	43224587	+	CUL9	ENSG00000112659.14
6	43225629	43229481	-	DNPH1	ENSG00000112667.13
6	43243481	43288258	+	TTBK1	ENSG00000146216.13
6	43295694	43305538	+	SLC22A7	ENSG00000137204.15
6	43299710	43308826	-	CRIP3	ENSG00000146215.14
6	43307134	43369647	-	ZNF318	ENSG00000171467.16
6	43427366	43450427	+	ABCC10	ENSG00000124574.15
6	43450352	43456632	-	DLK2	ENSG00000171462.15
6	43477523	43506556	+	TJAP1	ENSG00000137221.14
6	43506969	43510686	-	LRRC73	ENSG00000204052.4
6	43509702	43562419	+	POLR1C	ENSG00000171453.20
6	43511832	43516985	-	YIPF3	ENSG00000137207.12
6	43522334	43576038	-	XPO5	ENSG00000124571.18
6	43576185	43620523	+	POLH	ENSG00000170734.12
6	43605316	43629264	-	GTPBP2	ENSG00000172432.19
6	43629540	43640941	+	MAD2L1BP	ENSG00000124688.14
6	43645036	43672600	+	RSPH9	ENSG00000172426.16
6	43671202	43687791	-	MRPS18A	ENSG00000096080.12
6	43770184	43786487	+	VEGFA	ENSG00000112715.25
6	44113451	44127452	-	MRPL14	ENSG00000180992.7
6	44126914	44155519	+	TMEM63B	ENSG00000137216.19
6	44158811	44184401	+	CAPN11	ENSG00000137225.13
6	44216926	44218234	+	MYMX	ENSG00000262179.3
6	44219553	44234142	+	SLC29A1	ENSG00000112759.19
6	44246166	44253888	+	HSP90AB1	ENSG00000096384.20
6	44254096	44257890	-	SLC35B2	ENSG00000157593.19
6	44258166	44265788	-	NFKBIE	ENSG00000146232.17
6	44270450	44307506	+	TMEM151B	ENSG00000178233.18
6	44273194	44378957	+	AL353588.1	ENSG00000272442.2
6	44278734	44297698	-	TCTE1	ENSG00000146221.10
6	44298731	44313347	-	AARS2	ENSG00000124608.5
6	44342650	44380179	+	SPATS1	ENSG00000249481.7
6	44387706	44450425	+	CDC5L	ENSG00000096401.8
6	44809317	45377953	-	SUPT3H	ENSG00000196284.17
6	45328157	45664349	+	RUNX2	ENSG00000124813.23
6	45880827	46080348	-	CLIC5	ENSG00000112782.19
6	46129989	46146688	+	ENPP4	ENSG00000001561.7
6	46159185	46170980	-	ENPP5	ENSG00000112796.10
6	46220736	46491972	-	RCAN2	ENSG00000172348.15
6	46549580	46652830	-	CYP39A1	ENSG00000146233.8
6	46652915	46678190	+	SLC25A27	ENSG00000153291.16
6	46687875	46704319	+	TDRD6	ENSG00000180113.16
6	46704201	46735693	-	PLA2G7	ENSG00000146070.17
6	46746917	46759506	+	ANKRD66	ENSG00000230062.5
6	46793389	46839782	+	MEP1A	ENSG00000112818.10
6	46852522	46954943	-	ADGRF5	ENSG00000069122.19
6	46997708	47042350	-	ADGRF1	ENSG00000153292.16
6	47231532	47309905	-	TNFRSF21	ENSG00000146072.6
6	47477789	47627263	+	CD2AP	ENSG00000198087.7
6	47656436	47697797	+	ADGRF2	ENSG00000164393.8
6	47685864	47722021	+	ADGRF4	ENSG00000153294.12
6	47781982	47832780	+	OPN5	ENSG00000124818.15
6	47878028	48068689	-	PTCHD4	ENSG00000244694.7
6	49430360	49463253	-	MMUT	ENSG00000146085.8
6	49463370	49493107	+	CENPQ	ENSG00000031691.7
6	49499923	49528078	+	GLYATL3	ENSG00000203972.10
6	49550646	49561907	+	C6orf141	ENSG00000197261.11
6	49605175	49636839	-	RHAG	ENSG00000112077.17
6	49692358	49713590	-	CRISP2	ENSG00000124490.14
6	49727376	49744437	-	CRISP3	ENSG00000096006.12
6	49785660	49787285	-	PGK2	ENSG00000170950.6
6	49834257	49877096	-	CRISP1	ENSG00000124812.15
6	49946021	49950265	-	DEFB133	ENSG00000214643.6
6	49960249	49964164	-	DEFB114	ENSG00000177684.4
6	49968677	49969625	-	DEFB113	ENSG00000214642.1
6	50009138	50021994	-	DEFB110	ENSG00000203970.4
6	50042099	50049929	-	DEFB112	ENSG00000180872.7
6	50713526	50773033	+	TFAP2D	ENSG00000008197.5
6	50818723	50847619	+	TFAP2B	ENSG00000008196.13
6	51615299	52087613	-	PKHD1	ENSG00000170927.15
6	52186375	52190638	+	IL17A	ENSG00000112115.7
6	52236681	52244500	-	IL17F	ENSG00000112116.10
6	52264014	52284881	-	MCM3	ENSG00000112118.20
6	52361421	52407777	+	PAQR8	ENSG00000170915.9
6	52362123	52529886	+	EFHC1	ENSG00000096093.16
6	52497408	52577060	-	TRAM2	ENSG00000065308.5
6	52671113	52686588	+	TMEM14A	ENSG00000096092.6
6	52750087	52763475	-	GSTA2	ENSG00000244067.3
6	52791371	52803860	-	GSTA1	ENSG00000243955.6
6	52831655	52840843	-	GSTA5	ENSG00000182793.12
6	52896639	52909698	-	GSTA3	ENSG00000174156.15
6	52977948	52995304	-	GSTA4	ENSG00000170899.11
6	53001279	53061824	-	CILK1	ENSG00000112144.16
6	53041266	53041385	-	AL031178.1	ENSG00000288614.1
6	53051991	53100873	+	FBXO9	ENSG00000112146.17
6	53065602	53065673	+	AL031178.2	ENSG00000288646.1
6	53126961	53148841	-	GCM1	ENSG00000137270.11
6	53267398	53349179	-	ELOVL5	ENSG00000012660.14
6	53497341	53616970	-	GCLC	ENSG00000001084.13
6	53647916	53665756	-	KLHL31	ENSG00000124743.6
6	53794497	53924125	+	LRRC1	ENSG00000137269.15
6	53929982	54266280	+	MLIP	ENSG00000146147.15
6	54307859	54390142	+	TINAG	ENSG00000137251.16
6	54846771	54945099	+	FAM83B	ENSG00000168143.9
6	55106460	55282620	+	HCRTR2	ENSG00000137252.9
6	55327469	55402493	+	GFRAL	ENSG00000187871.2
6	55434373	55579197	-	HMGCLL1	ENSG00000146151.14
6	55753653	55875590	-	BMP5	ENSG00000112175.8
6	56056590	56394094	-	COL21A1	ENSG00000124749.17
6	56457987	56954649	-	DST	ENSG00000151914.20
6	56955107	57027346	+	BEND6	ENSG00000151917.18
6	57046532	57055239	+	KIAA1586	ENSG00000168116.14
6	57086844	57170305	+	ZNF451	ENSG00000112200.17
6	57172326	57189833	+	BAG2	ENSG00000112208.11
6	57186992	57222307	-	RAB23	ENSG00000112210.12
6	57314805	57646850	+	PRIM2	ENSG00000146143.19
6	61679961	62286225	-	KHDRBS2	ENSG00000112232.10
6	63211446	63213024	+	FKBP1C	ENSG00000198225.5
6	63275951	63319983	-	LGSN	ENSG00000146166.17
6	63521746	63583436	+	PTP4A1	ENSG00000112245.12
6	63572472	63583587	+	AL135905.2	ENSG00000285976.2
6	63635802	63779336	+	PHF3	ENSG00000118482.12
6	63719980	65707226	-	EYS	ENSG00000188107.15
6	68635282	69389506	+	ADGRB3	ENSG00000135298.14
6	69672757	69867236	-	LMBRD1	ENSG00000168216.13
6	69866556	70212468	+	COL19A1	ENSG00000082293.13
6	70216040	70303084	-	COL9A1	ENSG00000112280.17
6	70412941	70561174	+	FAM135A	ENSG00000082269.17
6	70566917	70589569	+	SDHAF4	ENSG00000154079.6
6	70667776	70862011	+	SMAP1	ENSG00000112305.15
6	70856679	70957060	-	B3GAT2	ENSG00000112309.11
6	71288811	71309059	+	OGFRL1	ENSG00000119900.9
6	71886703	72403143	+	RIMS1	ENSG00000079841.18
6	72621792	73198853	+	KCNQ5	ENSG00000185760.17
6	73209746	73263196	-	AL365232.1	ENSG00000243501.5
6	73223544	73225770	-	KHDC1L	ENSG00000256980.5
6	73241314	73310365	-	KHDC1	ENSG00000135314.12
6	73353063	73354276	-	DPPA5	ENSG00000203909.4
6	73362658	73364171	+	KHDC3L	ENSG00000203908.4
6	73368555	73395133	-	OOEP	ENSG00000203907.9
6	73394828	73417566	+	DDX43	ENSG00000080007.8
6	73413515	73452297	-	CGAS	ENSG00000164430.16
6	73461578	73509236	+	MTO1	ENSG00000135297.16
6	73489308	73525587	-	EEF1A1	ENSG00000156508.19
6	73593379	73653992	-	SLC17A5	ENSG00000119899.13
6	73695785	73828316	+	CD109	ENSG00000156535.15
6	75084326	75206053	-	COL12A1	ENSG00000111799.21
6	75237675	75250323	-	COX7A2	ENSG00000112695.11
6	75252924	75284948	-	TMEM30A	ENSG00000112697.17
6	75291859	75493800	-	FILIP1	ENSG00000118407.15
6	75601509	75718281	+	SENP6	ENSG00000112701.18
6	75749192	75919537	+	MYO6	ENSG00000196586.16
6	75921114	76072678	-	IMPG1	ENSG00000112706.12
6	77460924	77463491	-	HTR1B	ENSG00000135312.7
6	77650274	77927028	+	MEI4	ENSG00000269964.3
6	78867551	78946440	+	IRAK1BP1	ENSG00000146243.14
6	78934419	79078254	-	PHIP	ENSG00000146247.14
6	79201245	79234738	-	HMGN3	ENSG00000118418.14
6	79484991	79537458	-	LCA5	ENSG00000135338.14
6	79631329	79703655	+	SH3BGRL2	ENSG00000198478.8
6	79914814	79947553	-	ELOVL4	ENSG00000118402.6
6	80003887	80042527	+	TTK	ENSG00000112742.10
6	80106647	80346270	+	BCKDHB	ENSG00000083123.15
6	81491439	81752774	-	TENT5A	ENSG00000112773.16
6	82169986	82247754	-	IBTK	ENSG00000005700.15
6	82363206	82367420	+	TPBG	ENSG00000146242.9
6	82892390	83065841	-	UBE3D	ENSG00000118420.17
6	83067666	83171350	+	DOP1A	ENSG00000083097.14
6	83161150	83193936	-	PGM3	ENSG00000013375.16
6	83193357	83198935	+	RWDD2A	ENSG00000013392.8
6	83210402	83431051	-	ME1	ENSG00000065833.9
6	83512534	83525704	+	PRSS35	ENSG00000146250.7
6	83552880	83709691	-	SNAP91	ENSG00000065609.14
6	83853266	83857515	+	RIPPLY2	ENSG00000203877.8
6	83859656	83967423	+	CYB5R4	ENSG00000065615.14
6	84033772	84090881	+	MRAP2	ENSG00000135324.6
6	84124241	84227643	-	CEP162	ENSG00000135315.12
6	84687351	84764598	-	TBX18	ENSG00000112837.17
6	85449584	85495791	+	NT5E	ENSG00000135318.12
6	85505496	85594156	-	SNX14	ENSG00000135317.13
6	85557978	85615234	-	AL589666.1	ENSG00000271793.1
6	85607779	85644063	-	SYNCRIP	ENSG00000135316.19
6	86937528	87016679	+	HTR1E	ENSG00000168830.8
6	87085498	87095106	-	CGA	ENSG00000135346.9
6	87152833	87265943	+	ZNF292	ENSG00000188994.13
6	87282980	87329278	-	GJB7	ENSG00000164411.12
6	87322583	87399749	+	SMIM8	ENSG00000111850.11
6	87344813	87365463	+	C6orf163	ENSG00000203872.7
6	87407972	87464465	+	CFAP206	ENSG00000272514.6
6	87408012	87511634	+	AL049697.1	ENSG00000213204.8
6	87470623	87512336	+	SLC35A1	ENSG00000164414.18
6	87513938	87589987	-	RARS2	ENSG00000146282.18
6	87590067	87667453	+	ORC3	ENSG00000135336.15
6	87674860	87702233	-	AKIRIN2	ENSG00000135334.9
6	88047841	88066838	+	SPACA1	ENSG00000118434.9
6	88139864	88166359	-	CNR1	ENSG00000118432.12
6	88609897	88963618	-	RNGTT	ENSG00000111880.16
6	89080751	89085160	+	PNRC1	ENSG00000146278.11
6	89095959	89118071	-	SRSF12	ENSG00000154548.9
6	89146055	89165565	+	PM20D2	ENSG00000146281.6
6	89177504	89231278	-	GABRR1	ENSG00000146276.12
6	89254464	89315299	-	GABRR2	ENSG00000111886.11
6	89326625	89352722	-	UBE2J1	ENSG00000198833.7
6	89364616	89412273	-	RRAGD	ENSG00000025039.15
6	89433152	89633834	+	ANKRD6	ENSG00000135299.17
6	89568144	89638749	-	LYRM2	ENSG00000083099.11
6	89642498	89819794	-	MDN1	ENSG00000112159.12
6	89829894	89874436	+	CASP8AP2	ENSG00000118412.13
6	89894469	89921760	+	GJA10	ENSG00000135355.4
6	89926528	90296908	-	BACH2	ENSG00000112182.15
6	90513573	90587072	-	MAP3K7	ENSG00000135341.18
6	93240020	93419559	-	EPHA7	ENSG00000135333.14
6	95577535	95609452	+	MANEA	ENSG00000172469.16
6	96015974	96215612	+	FUT9	ENSG00000172461.11
6	96521595	96555276	+	UFL1	ENSG00000014123.10
6	96562548	96616636	+	FHL5	ENSG00000112214.10
6	96794125	96837477	-	GPR63	ENSG00000112218.9
6	96889315	96897891	-	NDUFAF4	ENSG00000123545.6
6	96924620	97140754	+	KLHL32	ENSG00000186231.17
6	97142161	97283217	-	MMS22L	ENSG00000146263.11
6	98834574	98839458	+	POU3F2	ENSG00000184486.10
6	98868535	98948006	-	FBXL4	ENSG00000112234.9
6	99271168	99350062	-	FAXC	ENSG00000146267.12
6	99369401	99394195	-	COQ3	ENSG00000132423.12
6	99398050	99425331	-	PNISR	ENSG00000132424.16
6	99432325	99521728	-	USP45	ENSG00000123552.18
6	99520976	99589899	+	TSTD3	ENSG00000279170.3
6	99542387	99568825	-	CCNC	ENSG00000112237.13
6	99606774	99615578	+	PRDM13	ENSG00000112238.12
6	99918519	99994247	-	MCHR2	ENSG00000152034.11
6	100385009	100464921	-	SIM1	ENSG00000112246.10
6	100508194	100881372	-	ASCC3	ENSG00000112249.14
6	101181257	102070083	+	GRIK2	ENSG00000164418.21
6	104728094	104859919	-	HACE1	ENSG00000085382.12
6	104936616	105083332	+	LIN28B	ENSG00000187772.8
6	105096822	105137157	-	BVES	ENSG00000112276.14
6	105157900	105180014	-	POPDC3	ENSG00000132429.10
6	105273218	105454062	-	PREP	ENSG00000085377.15
6	105993463	106109939	+	PRDM1	ENSG00000057657.17
6	106045423	106325791	-	ATG5	ENSG00000057663.16
6	106360717	106572017	+	CRYBG1	ENSG00000112297.18
6	106570771	106629498	-	RTN4IP1	ENSG00000130347.13
6	106629578	106668417	+	QRSL1	ENSG00000130348.11
6	106969831	106975627	-	CD24	ENSG00000272398.6
6	107028199	107051586	+	MTRES1	ENSG00000130349.10
6	107065182	107115515	-	BEND3	ENSG00000178409.14
6	107152562	107459564	-	PDSS2	ENSG00000164494.12
6	107490106	107661306	+	SOBP	ENSG00000112320.12
6	107702154	107824317	-	SCML4	ENSG00000146285.14
6	107867756	107958208	-	SEC63	ENSG00000025796.14
6	108041409	108165854	-	OSTM1	ENSG00000081087.15
6	108166022	108188805	+	NR2E1	ENSG00000112333.12
6	108211222	108261246	-	SNX3	ENSG00000112335.15
6	108294991	108526796	+	AFG1L	ENSG00000135537.17
6	108559835	108684774	+	FOXO3	ENSG00000118689.15
6	108848416	108974476	+	ARMC2	ENSG00000118690.13
6	108986437	109094819	-	SESN1	ENSG00000080546.13
6	109095110	109174418	+	CEP57L1	ENSG00000183137.15
6	109366514	109382467	-	CD164	ENSG00000135535.17
6	109390215	109441171	-	PPIL6	ENSG00000185250.16
6	109440724	109443919	+	SMPD2	ENSG00000135587.9
6	109444062	109465968	-	MICAL1	ENSG00000135596.18
6	109462594	109483219	-	ZBTB24	ENSG00000112365.5
6	109492856	109691217	-	AK9	ENSG00000155085.15
6	109690609	109878098	+	FIG4	ENSG00000112367.12
6	109978256	109980718	+	GPR6	ENSG00000146360.8
6	110099819	110180004	-	WASF1	ENSG00000112290.13
6	110180141	110254275	+	CDC40	ENSG00000168438.15
6	110245928	110358272	-	METTL24	ENSG00000053328.8
6	110391771	110415575	-	DDO	ENSG00000203797.12
6	110424687	110476641	-	SLC22A16	ENSG00000004809.14
6	110609978	110815958	-	CDK19	ENSG00000155111.15
6	110874770	110898879	+	AMD1	ENSG00000123505.19
6	110958706	110967890	+	GTF3C6	ENSG00000155115.7
6	110982015	111028263	+	RPF2	ENSG00000197498.13
6	111087503	111231194	+	SLC16A10	ENSG00000112394.17
6	111259327	111445354	+	MFSD4B	ENSG00000173214.7
6	111299028	111483715	-	REV3L	ENSG00000009413.16
6	111555381	111606906	-	TRAF3IP2	ENSG00000056972.20
6	111660332	111873452	-	FYN	ENSG00000010810.17
6	112054075	112069686	+	CCN6	ENSG00000112761.21
6	112070663	112087529	-	TUBE1	ENSG00000074935.14
6	112087591	112102790	+	FAM229B	ENSG00000203778.8
6	112107931	112254939	-	LAMA4	ENSG00000112769.20
6	112236806	112350094	+	AL365214.2	ENSG00000281613.2
6	112347330	112351294	+	RFPL4B	ENSG00000251258.2
6	113857345	113863475	+	MARCKS	ENSG00000277443.3
6	113933028	114011308	-	HDAC2	ENSG00000196591.12
6	114055586	114343045	-	HS3ST5	ENSG00000249853.8
6	115931149	116060891	-	FRK	ENSG00000111816.8
6	116100851	116249497	+	NT5DC1	ENSG00000178425.14
6	116118909	116158747	-	COL10A1	ENSG00000123500.10
6	116249964	116254075	-	TSPYL4	ENSG00000187189.11
6	116254173	116444861	+	DSE	ENSG00000111817.19
6	116267760	116279930	-	TSPYL1	ENSG00000189241.8
6	116399395	116463696	+	Z84488.1	ENSG00000285446.1
6	116461370	116463771	+	CALHM6	ENSG00000188820.13
6	116494989	116545684	-	TRAPPC3L	ENSG00000173626.10
6	116511639	116524788	+	CALHM5	ENSG00000178033.6
6	116529013	116558868	+	CALHM4	ENSG00000164451.13
6	116571409	116597675	+	RWDD1	ENSG00000111832.13
6	116616479	116632985	+	RSPH4A	ENSG00000111834.13
6	116635618	116668794	-	ZUP1	ENSG00000153975.10
6	116681187	116741867	+	KPNA5	ENSG00000196911.11
6	116752197	116765719	-	FAM162B	ENSG00000183807.8
6	116792085	116829083	-	GPRC6A	ENSG00000173612.10
6	116877212	116932161	+	RFX6	ENSG00000185002.10
6	117265558	117273565	+	VGLL2	ENSG00000170162.14
6	117287353	117425942	-	ROS1	ENSG00000047936.11
6	117318211	117573571	-	AL132671.2	ENSG00000282218.1
6	117453817	117569858	+	DCBLD1	ENSG00000164465.19
6	117560269	117602542	-	GOPC	ENSG00000047932.14
6	117675469	117710727	+	NUS1	ENSG00000153989.8
6	117907264	118317676	+	SLC35F1	ENSG00000196376.11
6	118460772	118710075	-	CEP85L	ENSG00000111860.14
6	118548296	118561716	+	PLN	ENSG00000198523.6
6	118813442	118935162	-	MCM9	ENSG00000111877.17
6	118894152	118909171	+	ASF1A	ENSG00000111875.8
6	118959763	119149387	-	FAM184A	ENSG00000111879.20
6	119177205	119349761	-	MAN1A1	ENSG00000111885.7
6	121079494	121334745	-	TBC1D32	ENSG00000146350.14
6	121435595	121449727	+	GJA1	ENSG00000152661.9
6	122399551	122433119	+	HSF2	ENSG00000025156.13
6	122443351	122471807	-	SERINC1	ENSG00000111897.7
6	122471917	122726373	+	PKIB	ENSG00000135549.15
6	122779716	122784074	+	FABP7	ENSG00000164434.12
6	122789049	122809720	+	SMPDL3A	ENSG00000172594.13
6	122996235	123072925	+	CLVS2	ENSG00000146352.13
6	123216339	123637093	-	TRDN	ENSG00000186439.14
6	123803865	124825640	+	NKAIN2	ENSG00000188580.15
6	124962545	125092633	+	RNF217	ENSG00000146373.16
6	125119049	125264407	+	TPD52L1	ENSG00000111907.21
6	125219962	125302078	-	HDDC2	ENSG00000111906.18
6	125747664	125761269	+	HEY2	ENSG00000135547.9
6	125781161	125932034	+	NCOA7	ENSG00000111912.20
6	125956770	125980244	+	HINT3	ENSG00000111911.7
6	125986479	126203817	+	TRMT11	ENSG00000066651.20
6	126340115	126348875	+	CENPW	ENSG00000203760.9
6	127118671	127199481	+	RSPO3	ENSG00000146374.14
6	127266682	127288567	+	RNF146	ENSG00000118518.16
6	127288712	127343609	-	ECHDC1	ENSG00000093144.19
6	127438406	127459389	-	KIAA0408	ENSG00000189367.15
6	127438406	127519001	-	AL096711.2	ENSG00000255330.9
6	127472794	127519191	-	SOGA3	ENSG00000214338.10
6	127519455	127591820	+	C6orf58	ENSG00000184530.9
6	127708072	127918631	-	THEMIS	ENSG00000172673.11
6	127968785	128520616	-	PTPRK	ENSG00000152894.15
6	128883138	129516566	+	LAMA2	ENSG00000196569.13
6	129576132	129710177	-	ARHGAP18	ENSG00000146376.11
6	129831244	129861547	-	TMEM244	ENSG00000203756.8
6	130013699	130141449	+	L3MBTL3	ENSG00000198945.8
6	130144315	130365425	-	SAMD3	ENSG00000164483.17
6	130366017	130443067	+	TMEM200A	ENSG00000164484.12
6	130827406	130837135	+	SMLR1	ENSG00000256162.2
6	130839347	131063322	-	EPB41L2	ENSG00000079819.19
6	131135467	131283535	+	AKAP7	ENSG00000118507.17
6	131470832	131584332	+	ARG1	ENSG00000118520.15
6	131573966	131628242	-	MED23	ENSG00000112282.18
6	131628442	131747418	+	ENPP3	ENSG00000154269.15
6	131699644	131701401	-	OR2A4	ENSG00000180658.4
6	131708441	131711017	-	CTAGE9	ENSG00000236761.6
6	131808016	131895155	+	ENPP1	ENSG00000197594.13
6	131948176	131951372	-	CCN2	ENSG00000118523.6
6	132296055	132401475	-	MOXD1	ENSG00000079931.15
